,epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives,traintime
15,15,0.9888996481895448,34.0,69.0,0.0321688391268253,0.991241455078125,0.9956648945808412,1367.0,7809.0,0.9801723957061768,4.0,42.0,0.0806091949343681,0.9789894819259644,0.9979602098464966,317.0,1957.0,108.43520999999987
16,16,0.9901928901672364,24.0,67.0,0.0265731383115053,0.9915039539337158,0.9969399571418762,1369.0,7819.0,0.9840517044067384,15.0,22.0,0.0581325069069862,0.9888211488723756,0.9923508167266846,337.0,1946.0,102.22381059999998
17,17,0.9900851249694824,37.0,55.0,0.0263718515634536,0.9930034279823304,0.9952824115753174,1381.0,7806.0,0.9758620858192444,34.0,22.0,0.0803125873208046,0.9887121319770812,0.9826619029045104,337.0,1927.0,102.93410840000001
18,18,0.9886841177940368,32.0,73.0,0.0331538394093513,0.9907407164573668,0.995919942855835,1363.0,7811.0,0.9853448271751404,11.0,23.0,0.0496000312268734,0.9883426427841188,0.994390606880188,336.0,1950.0,101.64379340000005
19,19,0.99224054813385,18.0,54.0,0.0215386282652616,0.9931463599205016,0.9977049827575684,1382.0,7825.0,0.984482765197754,11.0,25.0,0.0486666336655616,0.9873417615890504,0.994390606880188,334.0,1950.0,109.52893979999999
20,20,0.99224054813385,26.0,46.0,0.0228659622371196,0.9941498041152954,0.9966849684715272,1390.0,7817.0,0.982758641242981,17.0,23.0,0.0610432140529155,0.9883070588111876,0.9913309812545776,336.0,1944.0,109.55990410000004
21,21,0.99321049451828,18.0,45.0,0.0217923019081354,0.994282066822052,0.9977049827575684,1391.0,7825.0,0.9801723957061768,26.0,20.0,0.0702708512544632,0.9897698163986206,0.9867414832115172,339.0,1935.0,102.4806222000002
22,22,0.994288206100464,12.0,41.0,0.0143233407288789,0.9947916865348816,0.9984699487686156,1395.0,7831.0,0.9866379499435424,7.0,24.0,0.0500529371201992,0.9878665208816528,0.9964303970336914,335.0,1954.0,102.9889820000003
23,23,0.991378366947174,28.0,52.0,0.0258645247668027,0.9933900833129884,0.9964299201965332,1384.0,7815.0,0.982758641242981,2.0,38.0,0.173064038157463,0.9809714555740356,0.9989801049232484,321.0,1959.0,100.38632860000007
24,24,0.9897618293762208,33.0,62.0,0.0312961116433143,0.9921239614486694,0.9957924485206604,1374.0,7810.0,0.9883620738983154,6.0,21.0,0.037258643656969,0.989372491836548,0.9969403147697448,338.0,1955.0,100.7725648999999
25,25,0.9953658580780028,4.0,39.0,0.0127461152151227,0.9950494766235352,0.999489963054657,1397.0,7839.0,0.9866379499435424,7.0,24.0,0.0445254631340503,0.9878665208816528,0.9964303970336914,335.0,1954.0,100.97043179999991
